#,"Traffic (desc)","Traffic (Percent %)","# of Keywords","Referring Domains",URL,"Top Keyword","Its Volume",Position,"Page URL inside","Traffic value"
72,20,0.33,2,0,https://www.shutterstock.com/search/forrest+worker,"forrest worker",90,1,,56
73,19,0.32,9,1,https://www.shutterstock.com/search/mine+worker,"picture of a mine",100,5,,0
74,19,0.31,3,0,https://www.shutterstock.com/search/gay+worker,"gay worker",50,1,,0
75,19,0.30,4,0,https://www.shutterstock.com/search/funny+cartoon+office+worker,"cartoon office worker",60,3,,0
76,18,0.30,9,0,https://www.shutterstock.com/search/sewer+worker,"sewer worker logo",80,3,,5
77,18,0.29,9,0,https://www.shutterstock.com/search/old+factory+workers,"photos factories",500,1,"Image pack",0
78,17,0.28,2,0,https://www.shutterstock.com/search/workers+day+logo,"labour day logo",100,3,,0
79,17,0.28,6,0,https://www.shutterstock.com/search/worker+vector,"worker vector",350,10,,0
80,16,0.27,8,0,https://www.shutterstock.com/search/busy+office+worker,"busy office worker",30,2,,0
81,16,0.26,14,0,https://www.shutterstock.com/search/professional+workers,"professional workers",60,4,,0
82,16,0.26,14,0,https://www.shutterstock.com/search/saint+joseph+the+worker,"images of saint joseph the worker",90,5,,2
83,16,0.26,13,0,https://www.shutterstock.com/search/union+workers,"picture of union",50,5,,0
84,16,0.26,2,0,https://www.shutterstock.com/search/naked+worker,"naked worker",40,1,,0
85,16,0.26,1,0,https://www.shutterstock.com/search/cartoon+warehouse+worker,"cartoon warehouse",100,2,,0
86,16,0.26,2,0,https://www.shutterstock.com/search/workers+in+rice+field,"rice field workers",100,3,,0
87,15,0.25,5,0,https://www.shutterstock.com/search/social+worker+cartoon,"social worker cartoon",80,5,,0
88,15,0.25,1,0,https://www.shutterstock.com/search/sexy+nude+male+worker,"nude male workers",150,3,,0
89,15,0.25,7,0,https://www.shutterstock.com/search/stressed+office+worker,"stressed office worker",70,4,,0
90,15,0.24,3,0,https://www.shutterstock.com/search/construction+workers+frustration,"frustrated construction worker",80,2,,0
91,15,0.24,4,0,https://www.shutterstock.com/search/indian+construction+worker,"indian construction workers",60,2,,0
92,14,0.24,3,0,https://www.shutterstock.com/search/female+office+worker,"female office worker",70,2,,0
93,14,0.23,6,0,https://www.shutterstock.com/search/dog+construction+worker,"dog construction worker",100,4,,1
94,14,0.22,1,0,https://www.shutterstock.com/search/male+indian+office+worker,"maleindian com",100,4,,0
95,14,0.22,1,0,https://www.shutterstock.com/search/facade+construction+worker,"facade consturction workers",80,2,,0
96,14,0.22,1,0,https://www.shutterstock.com/search/construction+worker+hammer,"consturction worker with hammer",80,2,,0
97,14,0.22,1,0,https://www.shutterstock.com/search/construction+workers+white+background,"consturction worker standing in white background",80,2,,0
98,14,0.22,1,0,https://www.shutterstock.com/search/social+workers+families,"family picture social work",80,2,,0
99,13,0.22,10,0,https://www.shutterstock.com/search/female+workers,"female worker",100,6,,0
100,13,0.22,17,1,https://www.shutterstock.com/search/worker-bees,"working bee images",20,3,,0
